Source,Target,Weight
ヨークベニマル友部東平店,イオンモール水戸内原,5.315693380162036
ヨークベニマル牛久南店,ヨークベニマルひたち野うしく店,3.0839080841617332
ヨークベニマル牛久南店,我孫子市近隣センターふさの風,10.56421536335931
ヨークベニマル筑西横島店,イオンスーパーセンター真岡店,9.880581163720485
ヨークベニマル筑西横島店,カインズホーム下妻店,10.578331816052406
イオンモール水戸内原,ロゼオ水戸,10.019036249703984
ヨークベニマル水戸浜田店,ロゼオ水戸,5.805557672194118
ロゼオ水戸,スーパービバホーム水戸　県庁前店,0.0
マルトＳＣ滑川店,カスミフードスクエア日立神峰店,2.566113621231935
マルトＳＣ滑川店,ヨークベニマル中郷店,15.371838431494838
カスミ鮎川店,ヨークベニマル日立会瀬店,1.4075507870961652
ヨークベニマル日立会瀬店,カスミフードスクエア日立神峰店,1.63790439149112
エスコート磯原,ヨークベニマル中郷店,3.709304263735317
ベイシア古河総和店,カインズ・ベイシア棟,5.98126269544413
取手市立取手ウェルネスプラザ,我孫子北近隣センター並木本館,5.632472019059176
いばらきコープコープひたちなか店,ヨークベニマルひたちなか店,1.6036751811460532
いばらきコープコープひたちなか店,カスミ佐和店,1.6351073000815775
いばらきコープコープひたちなか店,カスミ馬渡店,2.829603991748526
ヨークベニマルひたちなか店,ヨークベニマル大成店,2.811705643128714
ヨークベニマル石井店,ベイシア宇都宮陽東店,2.355648593996129
ヨークベニマル細谷店,栃木県総合福祉プラザ,1.050723850680613
